Display Name,Card Code
[chain] チェインクロニクル 〜ヘクセイタスの閃〜,chain
[starwars] STAR WARS,starwars
[starwars2.0] カムバックブースター STAR WARS,starwars2.0
[starwarspb] プレミアムブースター STAR WARS,starwarspb
[starwarspb2.0] プレミアムブースター STAR WARS Vol.2,starwarspb2.0
[gurren] 天元突破グレンラガン,gurren
[rsl] 少女☆歌劇 レヴュースタァライト,rsl
[rsl2.0] 少女☆歌劇 レヴュースタァライト -Re LIVE-,rsl2.0
[rslstageext] ポートレートブースター 少女☆歌劇 レヴュースタァライト -The LIVE エーデル- Delight,rslstageext
[rsl3.0] 劇場版 少女☆歌劇 レヴュースタァライト,rsl3.0
[godzilla] アニメーション映画『GODZILLA』TD+,godzilla
[godzillaext1.0] アニメーション映画『GODZILLA』Extra,godzillaext1.0
[darlifra] ダーリン・イン・ザ・フランキス,darlifra
[ngl] ノーゲーム・ノーライフ,ngl
[stg] STEINS;GATE,stg
[ovl] オーバーロード,ovl
[ovl2.0] オーバーロード Vol.2,ovl2.0
[ovlext] 劇場版「オーバーロード」聖王国編 Extra,ovlext
[ovlpb] プレミアムブースター 原作 オーバーロード,ovlpb
[gbs] ゴブリンスレイヤー,gbs
[jj] ジョジョの奇妙な冒険 黄金の風,jj
[jjpbsdc] プレミアムブースター ジョジョの奇妙な冒険 スターダストクルセイダース,jjpbsdc
[jjpbso] プレミアムブースター ジョジョの奇妙な冒険 ストーンオーシャン,jjpbso
[tsk] 転生したらスライムだった件,tsk
[tsk2.0] 転生したらスライムだった件 Vol.2,tsk2.0
[tsk3.0] 転生したらスライムだった件 Vol.3,tsk3.0
[gri] グリザイアの果実,gri
[gri2.0] グリザイアの果実 Vol.2,gri2.0
[gri3.0] グリザイア：ファントムトリガー,gri3.0
[lily] アサルトリリィ BOUQUET,lily
[lily2.0] アサルトリリィ Vol.2,lily2.0
[lilystageext] ポートレートブースター アサルトリリィ Last Bullet,lilystageext
[lily3.0] アサルトリリィ Last Bullet,lily3.0
[skr] 新サクラ大戦,skr
[lod] ロストディケイド,lod
[bfr] 痛いのは嫌なので防御力に極振りしたいと思います。,bfr
[kgl] かぐや様は告らせたい～天才たちの恋愛頭脳戦～,kgl
[kgl2.0] かぐや様は告らせたい？～天才たちの恋愛頭脳戦～,kgl2.0
[mti] 無職転生 ～異世界行ったら本気だす～,mti
[wtr] ワールドトリガー,wtr
[dct] D_CIDE TRAUMEREI,dct
[ddm] ダンジョンに出会いを求めるのは間違っているだろうか,ddm
[mar] Marvel/Card Collection,mar
[marpb] プレミアムブースター MARVEL,marpb
[mar2.0] MARVEL Vol.2,mar2.0
[mar3.0] MARVEL Vol.3 [MARVEL STUDIOS],mar3.0
[pjs] プロジェクトセカイ カラフルステージ！ feat. 初音ミク,pjs
[pjs2.0] プロジェクトセカイ カラフルステージ！ feat. 初音ミク Vol.2,pjs2.0
[pjs3.0] プロジェクトセカイ カラフルステージ！ feat. 初音ミク Vol.3,pjs3.0
[pjsext] コレクションパック プロジェクトセカイ カラフルステージ！ feat. 初音ミク,pjsext
[trv] 東京リベンジャーズ,trv
[pxr] PIXAR CHARACTERS,pxr
[pxr2.0] Toy Story 30YEARS＆BEYOND,pxr2.0
[azl] アズールレーン,azl
[azl2.0] アズールレーン Vol.2,azl2.0
[ari] ありふれた職業で世界最強,ari
[disney] Disney100,disney
[csm] チェンソーマン,csm
[pad] パズル＆ドラゴンズ,pad
[spy] SPY×FAMILY,spy
[osk] 【推しの子】,osk
[osk2.0] 【推しの子】Vol.2,osk2.0
[osk3.0] 【推しの子】Vol.3,osk3.0
[sfn] 葬送のフリーレン,sfn
[sfnre] 葬送のフリーレン 新装版,sfnre
[sfn2.0] 葬送のフリーレン Vol.2,sfn2.0
[d4dj] D4DJ Groovy Mix,d4dj
[rskext] リアセカイ,rskext
[mr] Disney ミラー・ウォリアーズ,mr
[rkn] るろうに剣心 －明治剣客浪漫譚－,rkn
[nik] 勝利の女神：NIKKE,nik
[ddd] TVアニメ『ダンダダン』,ddd
[ddd2.0] TVアニメ『ダンダダン』Vol.2,ddd2.0
[gcrpb] プレミアムブースター ガールズバンドクライ,gcrpb
[kj8] 怪獣８号,kj8
[tal] 『テイルズ オブ』シリーズ,tal
[thp] 東方Project～ Black and White Lotus Land.,thp
[ga] GA文庫,ga
[gbf] グランブルーファンタジー,gbf
[woo] うーさーのその日暮らし,woo
[siyoko] カードゲームしよ子 アルティメットスターター,siyoko
[dengeki] 電撃文庫,dengeki
[promo] その他プロモーションカード,promo
[marker] 先攻後攻カード(～2023),marker
[marker2024] 先攻後攻カード(2024),marker2024
[marker2025] 先攻後攻カード(2025),marker2025
[marker2026] 先攻後攻カード(2026),marker2026
