categoryId,name,modifiedOn,displayName,seoCategoryName,categoryDescription,categoryPageTitle,sealedLabel,nonSealedLabel,conditionGuideUrl,isScannable,popularity,isDirect
68,One Piece Card Game,2026-07-24T21:25:08.357,One Piece Card Game,One Piece Card Game,"Choose your Leader, build your crew, and set sail for adventure! Browse One Piece Card Game singles, booster boxes, starter decks, and the latest sets from thousands of trusted sellers. Whether you're charting your path to victory or growing your collection, start your adventure on TCGplayer.","TCGplayer - Buy One Piece Card Game cards, starter decks, booster packs, and more",Sealed Products,Cards,https://store.tcgplayer.com/,True,0,False
69,Marvel Comics,2025-02-25T20:24:39.097,Marvel Comics,Marvel Comics & Graphic Novels,"From Spider-Man to Iron Man and Captain Marvel, Marvel Comics has given us many of the most popular super heroes of all time. Shop thousands of sellers for the best prices on Marvel comic books.",TCGplayer - Buy comics by Marvel,,,https://store.tcgplayer.com/,False,0,False
70,DC Comics,2023-06-29T15:35:04.19,DC Comics,DC Comics & Graphic Novels,"From Batman to Superman and Wonder Woman, DC Comics has given us many of the most iconic super heroes of all time. Shop thousands of sellers for the best prices on DC comic books.",TCGplayer - Buy comics by DC,,,https://store.tcgplayer.com/,False,0,False
71,Lorcana TCG,2026-07-24T16:13:41.053,Disney Lorcana,Disney Lorcana Trading Card Game,"Wield magic inks and assemble your team of glimmers in Disney Lorcana TCG! Browse singles, booster boxes, starter decks, and the latest sets from thousands of trusted sellers. Whether you're discovering new Disney favorites or building your next deck, you'll find everything you need on TCGplayer.",TCGplayer - Shop TCGplayer for the best prices on Disney Lorcana TCG cards,Sealed Products,Singles,https://store.tcgplayer.com/,True,0,False
72,Battle Spirits Saga,2025-04-21T17:07:23.56,Battle Spirits Saga,BANDAI Battle Spirits Saga Card Game 2023,BANDAI Battle Spirits Saga Card Game 2023,Battle Spirits Saga,,,https://store.tcgplayer.com/,True,0,False
73,Shadowverse Evolve,2026-07-22T15:10:03.14,Shadowverse: Evolve,Shadowverse: Evolve Trading Card Game 2023,Shadowverse: Evolve Trading Card Game 2023,Shadowverse: Evolve,,,https://store.tcgplayer.com/,True,0,False
74,Grand Archive,2026-07-09T18:40:41.53,Grand Archive TCG,Grand Archive Trading Card Game,Grand Archive Trading Card Game,Grand Archive,Sealed Products,Cards,https://store.tcgplayer.com/,True,0,False
75,Akora,2025-03-03T16:34:28.783,Akora TCG,Akora Trading Card Game,Akora Trading Card Game,Akora Trading Card Game,Sealed Products,Cards,https://store.tcgplayer.com/,True,0,False
76,Kryptik TCG,2026-06-09T19:41:09.337,Kryptik TCG,Kryptik Trading Card Game,Kryptik Trading Card Game,Kryptik Trading Card Game,Sealed Product,Cards,https://store.tcgplayer.com/,True,0,False
77,Sorcery Contested Realm,2026-07-24T19:41:33.013,Sorcery: Contested Realm,Sorcery: Contested Realm Trading Card Game,Sorcery: Contested Realm Trading Card Game,Sorcery: Contested Realm,Sealed Products,Cards,https://store.tcgplayer.com/,False,0,False
78,Alpha Clash,2026-06-16T14:51:31.107,Alpha Clash,Alpha Clash Trading Card Game,Alpha Clash Trading Card Game,Alpha Clash,Sealed Products,Cards,https://store.tcgplayer.com/,True,0,False
79,Star Wars Unlimited,2026-07-25T16:41:48.73,Star Wars: Unlimited,Star Wars: Unlimited Trading Card Game,"Wage epic, intergalactic battles with Star Wars: Unlimited! Browse and buy singles, booster boxes, and starter decks from the latest sets!",Star Wars: Unlimited,Sealed Products,Cards,https://store.tcgplayer.com/,False,0,False
80,Dragon Ball Super Fusion World,2026-07-24T19:18:51.053,Dragon Ball Super: Fusion World,Dragon Ball Super Card Game: Fusion World,Dragon Ball Super Card Game: Fusion World,Dragon Ball Super: Fusion World,Sealed Products,Cards,https://store.tcgplayer.com/,False,0,False
81,Union Arena,2026-07-24T15:54:28.923,Union Arena,Union Arena Trading Card Game,Union Arena Trading Card Game,Union Arena Trading Card Game,Sealed Products,Cards,https://store.tcgplayer.com/,False,0,False
82,TCGplayer Supplies,2024-11-26T13:37:43.913,TCGplayer Supplies,TCGplayer Supplies,TCGplayer Supplies,TCGplayer Supplies,Sealed Products,,https://store.tcgplayer.com/,False,0,False
83,Elestrals,2026-07-13T18:23:42.493,Elestrals,Elestrals,Elestrals,Elestrals,Sealed Products,Cards,https://store.tcgplayer.com/,False,0,False
84,Neopets Battledome,2024-08-13T15:54:58.763,Neopets Battledome,Neopets Battledome,Neopets Battledome,,Sealed Products,Cards,https://store.tcgplayer.com/,False,0,False
85,Pokemon Japan,2026-07-24T12:38:53.47,Pokemon Japan,Pokémon Trading Card Game - Japan,"Collect all your favorite Pokémon in their original Japanese printings! Browse and buy Japanese Pokémon booster boxes from Scarlet & Violet, Sword & Shield, Sun & Moon, and singles from the original 1996-2002 era! Catch ‘em all at the best prices from thousands of sellers.",Pokémon Japan,Sealed Products,Cards,https://store.tcgplayer.com/,False,0,False
86,Gundam Card Game,2026-07-26T00:54:12.807,Gundam Card Game,Gundam Card Game,Gundam Card Game,Gundam Card Game,Sealed Products,Cards,https://store.tcgplayer.com/,False,0,False
87,hololive OFFICIAL CARD GAME,2026-07-24T18:43:53.707,hololive OFFICIAL CARD GAME,hololive OFFICIAL CARD GAME,hololive OFFICIAL CARD GAME,hololive OFFICIAL CARD GAME,Sealed Products,Cards,https://store.tcgplayer.com/,False,0,False
88,Godzilla Card Game,2026-06-30T18:01:32.037,Godzilla Card Game,Godzilla Card Game,Godzilla Card Game,Godzilla Card Game,Sealed Products,Cards,https://store.tcgplayer.com/,False,0,False
89,Riftbound League of Legends Trading Card Game,2026-07-24T18:33:41.827,Riftbound: League of Legends Trading Card Game,Riftbound: League of Legends Trading Card Game,Riftbound: League of Legends Trading Card Game,Riftbound: League of Legends Trading Card Game,Sealed Products,Cards,https://store.tcgplayer.com/,False,0,False
90,CookieRun Braverse TCG,2026-07-21T13:15:42.517,CookieRun: Braverse TCG,CookieRun: Braverse TCG,"Join GingerBrave and friends in CookieRun: Braverse TCG! Explore CookieRun: Braverse TCG singles, booster boxes, starter decks, and the latest sets from thousands of trusted sellers. Whether you're discovering your favorite Cookies or growing your collection, start your adventure on TCGplayer.",CookieRun: Braverse TCG,Sealed Products,Cards,https://store.tcgplayer.com/,False,0,False
